customer_id,total_orders,total_spend,aov,first_order,last_order,active_days
12753,6,21429.39,3571.57,2010-12-12,2011-11-17,340
15615,47,21373.97,454.77,2009-12-02,2011-11-29,727
17243,69,20870.96,302.48,2009-12-01,2011-12-08,737
14866,17,20803.72,1223.75,2010-09-21,2011-11-29,434
17706,31,20749.98,669.35,2010-01-19,2011-12-05,685
12433,10,20581.26,2058.13,2010-08-20,2011-12-09,476
15251,21,20324.54,967.84,2010-01-29,2011-11-30,670
12477,9,20276.37,2252.93,2010-03-26,2011-11-17,601
18008,23,19787.13,860.31,2010-01-06,2011-09-30,632
17139,25,19584.46,783.38,2010-01-11,2011-11-24,682
16843,35,19571.43,559.18,2009-12-10,2011-10-28,687
12540,32,19250.49,601.58,2009-12-07,2011-11-20,713
17581,43,18757.75,436.23,2009-12-03,2011-12-09,736
12557,8,18716.14,2339.52,2009-12-17,2011-11-23,706
14194,36,18670.59,518.63,2010-01-06,2011-12-05,698
13113,37,18625.73,503.4,2010-03-28,2011-12-09,621
15808,21,18409.93,876.66,2009-12-01,2011-02-06,432
17377,78,18314.37,234.8,2009-12-02,2011-11-16,714
16746,42,18064.7,430.11,2009-12-04,2011-12-05,731
15078,52,17751.88,341.38,2009-12-04,2011-12-02,728
12901,28,17654.54,630.52,2011-03-14,2011-12-01,262
14952,32,17629.35,550.92,2009-12-03,2011-10-11,677
16652,16,17550.39,1096.9,2010-03-17,2011-10-12,574
15189,46,17524.38,380.96,2010-07-18,2011-12-08,508
18172,52,17479.84,336.15,2009-12-11,2011-11-25,714
16019,27,17465.85,646.88,2009-12-14,2011-10-24,679
12357,2,17437.66,8718.83,2010-11-16,2011-11-06,355
15523,16,17359.99,1085.0,2009-12-02,2011-09-16,653
13027,19,17335.2,912.38,2010-01-20,2011-08-18,575
17416,22,17298.45,786.29,2009-12-14,2011-11-10,696
17735,26,17244.93,663.27,2010-07-30,2011-12-07,495
15358,42,17050.41,405.96,2009-12-07,2011-12-05,728
15125,24,17024.87,709.37,2010-03-31,2011-11-14,593
16656,30,16833.17,561.11,2009-12-04,2011-11-17,713
14277,8,16817.36,2102.17,2009-12-13,2011-11-24,711
16553,33,16644.01,504.36,2010-02-11,2011-06-29,503
13564,36,16630.8,461.97,2009-12-02,2010-12-20,383
12472,19,16494.59,868.14,2009-12-14,2011-11-07,693
12454,4,16459.78,4114.94,2010-10-14,2011-10-14,365
13199,66,16417.89,248.76,2009-12-05,2011-12-06,731
14961,22,16410.15,745.92,2009-12-04,2011-11-29,725
13225,16,16260.07,1016.25,2009-12-17,2011-12-06,719
16180,13,16249.87,1249.99,2010-06-23,2011-08-31,434
12980,21,16245.78,773.61,2009-12-02,2011-07-05,580
14733,15,16184.97,1079.0,2010-11-02,2011-11-23,386
18092,18,16179.44,898.86,2009-12-04,2011-12-07,733
17107,10,16075.42,1607.54,2010-01-31,2011-11-06,644
12971,116,15972.79,137.7,2009-12-15,2011-12-06,721
17716,24,15956.97,664.87,2009-12-02,2011-11-17,715
15044,32,15949.19,498.41,2009-12-16,2011-11-20,704
14769,17,15770.23,927.66,2009-12-16,2011-12-07,721
14849,43,15763.45,366.59,2010-01-10,2011-11-18,677
16191,24,15688.02,653.67,2009-12-11,2011-12-07,726
15768,34,15601.09,458.86,2009-12-03,2011-08-16,621
13488,23,15587.88,677.73,2010-01-25,2011-11-22,666
12949,22,15526.7,705.76,2009-12-03,2011-11-09,706
15601,30,14960.12,498.67,2009-12-01,2011-11-28,727
12647,35,14916.35,426.18,2010-01-13,2011-11-17,673
14543,39,14867.12,381.21,2009-12-01,2011-11-11,710
16126,15,14646.8,976.45,2009-12-02,2011-11-10,708
17133,12,14622.33,1218.53,2010-03-21,2011-11-24,613
16873,12,14617.39,1218.12,2010-02-09,2011-12-05,664
16713,32,14560.69,455.02,2009-12-15,2011-11-21,706
15482,18,14552.56,808.48,2009-12-02,2011-11-24,722
14299,27,14499.49,537.02,2009-12-02,2011-12-01,729
17448,41,14481.97,353.22,2010-03-04,2010-06-28,116
15093,23,14326.11,622.87,2009-12-08,2011-11-21,713
17017,29,14110.61,486.57,2009-12-03,2011-12-07,734
15005,56,14104.2,251.86,2009-12-01,2011-11-24,723
13090,23,14073.09,611.87,2010-08-02,2011-12-01,486
13178,21,14059.19,669.49,2009-12-16,2011-11-13,697
17589,18,14018.2,778.79,2010-03-07,2011-10-10,582
18223,26,14000.85,538.49,2009-12-04,2011-12-05,731
12435,6,13925.93,2320.99,2009-12-02,2011-09-21,658
18087,16,13908.72,869.29,2009-12-01,2011-02-22,448
16558,38,13873.51,365.09,2009-12-03,2011-12-09,736
15291,39,13801.56,353.89,2009-12-03,2011-11-14,711
15032,8,13780.65,1722.58,2009-12-10,2011-03-28,473
15382,12,13733.55,1144.46,2009-12-04,2011-11-25,721
12989,33,13551.75,410.66,2009-12-10,2011-12-06,726
13468,72,13390.51,185.98,2009-12-03,2011-12-08,735
16923,32,13378.36,418.07,2010-01-31,2011-11-27,665
15738,41,13372.97,326.17,2009-12-10,2011-11-21,711
13629,19,13370.86,703.73,2010-02-11,2011-11-16,643
13969,35,13365.87,381.88,2010-03-25,2011-12-02,617
12583,27,13295.44,492.42,2009-12-06,2011-12-07,731
14049,13,13239.03,1018.39,2010-04-01,2011-11-23,601
13316,10,13191.57,1319.16,2010-03-10,2011-11-02,602
16549,34,13182.19,387.71,2010-03-28,2011-11-29,611
12744,8,13158.16,1644.77,2010-04-27,2011-10-14,535
13668,35,13089.94,374.0,2009-12-11,2011-12-07,726
13097,27,13080.48,484.46,2009-12-01,2011-11-07,706
18225,26,13054.26,502.09,2009-12-04,2011-12-06,732
14110,33,12987.95,393.57,2009-12-01,2011-12-06,735
16161,43,12831.8,298.41,2010-02-08,2011-12-08,668
13952,14,12823.52,915.97,2009-12-16,2011-05-06,506
12714,12,12815.71,1067.98,2009-12-04,2011-11-30,726
17858,30,12797.65,426.59,2009-12-06,2011-12-04,728
15465,32,12655.65,395.49,2009-12-10,2011-11-20,710
14040,35,12645.57,361.3,2009-12-01,2011-10-30,698
12451,8,12629.88,1578.73,2010-06-28,2011-11-29,519
13013,29,12625.77,435.37,2009-12-14,2011-12-08,724
16814,36,12489.81,346.94,2010-04-11,2011-11-25,593
12567,15,12467.86,831.19,2010-02-11,2011-11-17,644
15194,28,12427.69,443.85,2009-12-03,2011-12-06,733
14936,12,12410.81,1034.23,2010-05-05,2011-11-06,550
16000,3,12393.7,4131.23,2011-12-07,2011-12-07,0
12476,18,12351.41,686.19,2010-07-26,2011-11-24,486
14739,25,12287.5,491.5,2009-12-02,2011-12-05,733
13854,39,12253.96,314.2,2010-01-08,2011-12-01,692
13050,34,12235.3,359.86,2009-12-15,2011-11-25,710
13418,31,12233.6,394.63,2009-12-11,2011-11-28,717
14735,55,12225.16,222.28,2009-12-04,2011-12-06,732
15144,29,12160.31,419.32,2009-12-13,2011-12-01,718
15023,20,12147.53,607.38,2010-02-03,2011-12-06,671
17338,17,12133.78,713.75,2010-03-10,2011-11-22,622
15555,36,12102.22,336.17,2009-12-06,2011-11-27,721
14415,23,12091.6,525.72,2009-12-16,2011-12-08,722
17364,28,12070.42,431.09,2009-12-07,2011-12-09,732
14505,19,11995.84,631.36,2009-12-09,2011-11-22,713
17044,12,11962.3,996.86,2009-12-07,2011-11-14,707
13458,16,11959.27,747.45,2010-11-16,2011-12-02,381
16258,15,11942.52,796.17,2010-03-10,2011-10-25,594
16523,28,11916.33,425.58,2010-01-24,2011-12-08,683
13687,1,11880.84,11880.84,2010-09-27,2010-09-27,0
18226,26,11878.88,456.88,2010-03-05,2011-10-26,600
14426,17,11727.94,689.88,2010-03-04,2011-11-16,622
13102,37,11696.92,316.13,2010-05-06,2011-12-08,581
13004,36,11650.85,323.63,2009-12-15,2011-11-28,713
13576,28,11551.74,412.56,2009-12-08,2011-11-29,721
15218,22,11501.57,522.8,2010-01-26,2011-11-29,672
13680,12,11435.67,952.97,2009-12-04,2011-12-08,734
14016,11,11403.41,1036.67,2010-01-08,2011-07-01,539
12683,20,11400.78,570.04,2009-12-13,2011-12-05,722
12474,29,11362.45,391.81,2010-02-11,2011-11-22,649
17809,20,11337.39,566.87,2009-12-02,2011-11-23,721
14045,16,11313.03,707.06,2010-01-08,2011-08-22,591
15874,21,11284.76,537.37,2010-01-07,2011-10-07,638
12437,38,11282.4,296.91,2009-12-02,2011-12-08,736
18055,14,11195.57,799.68,2010-10-22,2011-12-02,406
12481,14,11191.39,799.38,2010-04-11,2011-11-17,585
12539,7,11186.75,1598.11,2009-12-23,2011-11-17,694
14134,15,11123.35,741.56,2009-12-10,2010-11-22,347
13941,15,11122.3,741.49,2009-12-16,2011-11-18,702
12705,13,11114.1,854.93,2010-06-24,2011-11-24,518
16985,23,10923.16,474.92,2009-12-10,2011-11-22,712
14796,27,10888.08,403.26,2009-12-14,2011-12-08,724
18052,1,10877.18,10877.18,2010-05-24,2010-05-24,0
16033,27,10836.13,401.34,2010-08-11,2011-12-04,480
18229,28,10803.71,385.85,2009-12-03,2011-11-28,725
15694,23,10795.81,469.38,2009-12-07,2011-12-09,732
16984,9,10754.8,1194.98,2010-03-07,2011-09-12,554
16327,16,10670.14,666.88,2009-12-14,2011-11-25,711
16168,66,10636.47,161.16,2009-12-03,2011-11-29,726
15502,12,10532.52,877.71,2010-06-03,2011-11-24,539
12431,25,10527.97,421.12,2010-01-15,2011-11-04,658
13324,18,10513.47,584.08,2010-05-25,2011-11-03,527
15290,26,10496.28,403.7,2010-02-24,2011-12-05,649
16782,38,10438.41,274.69,2009-12-09,2011-11-29,720
14028,3,10396.5,3465.5,2010-06-07,2010-06-07,0
15296,12,10342.83,861.9,2010-01-21,2011-10-20,637
14422,19,10271.52,540.61,2009-12-17,2011-12-09,722
15719,31,10221.41,329.72,2009-12-01,2011-11-07,706
17160,17,10209.16,600.54,2009-12-04,2011-11-08,704
15805,30,10189.23,339.64,2009-12-10,2011-11-16,706
13599,33,10167.63,308.11,2009-12-01,2011-12-08,737
15547,26,10099.99,388.46,2009-12-06,2011-12-02,726
14085,32,10089.97,315.31,2009-12-08,2011-12-07,729
12839,26,10071.73,387.37,2009-12-07,2011-12-07,730
13985,22,10020.86,455.49,2010-02-09,2011-12-05,664
16353,38,9999.46,263.14,2009-12-07,2011-12-06,729
14755,25,9972.55,398.9,2009-12-03,2011-11-30,727
16182,9,9971.65,1107.96,2010-03-09,2011-09-28,568
12668,9,9967.68,1107.52,2010-01-31,2011-11-28,666
18260,23,9962.11,433.14,2009-12-15,2011-06-20,552
14101,13,9961.93,766.3,2010-03-28,2011-09-27,548
16131,12,9957.42,829.78,2009-12-02,2011-10-19,686
17049,19,9947.48,523.55,2010-03-04,2011-12-07,643
14329,15,9927.22,661.81,2009-12-16,2011-11-22,706
17230,18,9924.95,551.39,2009-12-08,2011-03-20,467
16701,26,9916.73,381.41,2009-12-01,2011-12-01,730
12758,7,9903.24,1414.75,2009-12-01,2011-08-15,622
18109,38,9893.96,260.37,2010-07-01,2011-12-08,525
14828,13,9839.46,756.88,2009-12-07,2011-05-27,536
13735,13,9813.22,754.86,2009-12-13,2011-11-15,702
13327,19,9797.87,515.68,2009-12-18,2011-11-01,683
12524,17,9794.11,576.12,2010-02-08,2011-11-30,660
14944,19,9784.67,514.98,2010-02-17,2011-11-10,631
17306,21,9782.35,465.83,2010-11-01,2011-11-29,393
13018,35,9763.16,278.95,2010-03-01,2011-11-23,632
13267,36,9758.26,271.06,2009-12-07,2011-12-07,730
13069,38,9683.13,254.82,2010-06-14,2011-12-09,543
14135,24,9643.92,401.83,2009-12-02,2011-12-08,736
17315,41,9610.52,234.4,2010-09-27,2011-12-08,437
17811,47,9603.1,204.32,2010-09-20,2011-12-05,441
17504,18,9565.12,531.4,2010-02-08,2011-05-17,463
14091,2,9530.08,4765.04,2010-01-10,2010-02-23,44
14060,30,9519.08,317.3,2010-03-11,2011-12-05,634
13999,29,9502.26,327.66,2009-12-05,2011-11-29,724
13174,11,9471.94,861.09,2009-12-04,2011-11-23,719
14063,7,9471.5,1353.07,2009-12-08,2010-01-22,45
15298,23,9459.37,411.28,2009-12-08,2011-12-07,729
14146,12,9450.3,787.52,2010-01-13,2011-12-01,687
15727,15,9445.51,629.7,2010-01-24,2011-11-23,668
14439,5,9443.04,1888.61,2010-01-21,2011-01-24,368
16550,18,9429.23,523.85,2009-12-02,2011-08-23,629
17757,56,9418.5,168.19,2010-01-13,2011-12-08,694
15981,21,9362.77,445.85,2010-03-29,2011-11-15,596
12590,1,9341.26,9341.26,2011-05-12,2011-05-12,0
13758,14,9314.14,665.3,2009-12-01,2011-11-28,727
15570,25,9311.04,372.44,2010-03-28,2011-12-02,614
12747,26,9276.54,356.79,2009-12-07,2011-12-07,730
13162,16,9275.49,579.72,2009-12-04,2011-08-09,613
15249,18,9266.0,514.78,2010-03-26,2011-11-08,592
14367,16,9261.52,578.85,2011-03-08,2011-12-01,268
14292,16,9226.25,576.64,2010-03-19,2011-12-02,623
13756,23,9207.5,400.33,2009-12-15,2011-12-07,722
15260,25,9188.23,367.53,2009-12-06,2011-08-31,633
16700,25,9167.71,366.71,2009-12-02,2011-12-01,729
17068,47,9147.33,194.62,2010-03-28,2011-11-27,609
12766,9,9116.28,1012.92,2010-10-28,2011-12-06,404
16709,14,9087.46,649.1,2009-12-09,2011-09-16,646
17576,41,9050.46,220.74,2009-12-03,2011-12-01,728
12755,11,9030.66,820.97,2010-01-15,2011-03-04,413
16186,26,9026.11,347.16,2009-12-09,2011-11-17,708
15867,31,9010.52,290.66,2009-12-14,2011-12-04,720
15939,15,9004.84,600.32,2010-11-30,2011-09-11,285
15150,13,9001.08,692.39,2010-06-14,2011-11-22,526
13555,13,8999.19,692.25,2010-01-19,2011-09-27,616
16722,22,8989.08,408.59,2009-12-03,2011-11-22,719
15903,12,8939.84,744.99,2010-01-14,2011-11-30,685
12359,10,8935.94,893.59,2009-12-05,2011-10-13,677
13269,28,8891.7,317.56,2009-12-02,2011-12-08,736
14709,25,8886.33,355.45,2009-12-05,2011-11-24,719
13448,12,8881.16,740.1,2009-12-06,2011-11-23,717
13047,23,8790.21,382.18,2009-12-16,2011-10-14,667
17396,13,8789.1,676.08,2010-09-24,2011-10-31,402
12490,20,8764.64,438.23,2009-12-01,2011-12-04,733
15984,30,8759.32,291.98,2009-12-01,2011-12-07,736
16532,5,8756.64,1751.33,2010-03-29,2011-11-22,603
18041,38,8752.38,230.33,2010-01-14,2011-11-28,683
12957,13,8706.97,669.77,2009-12-11,2011-11-30,719
13263,38,8679.47,228.41,2010-10-22,2011-12-08,412
15955,22,8658.36,393.56,2010-02-23,2011-11-15,630
15497,9,8657.39,961.93,2009-12-18,2011-11-22,704
13148,26,8612.31,331.24,2009-12-07,2011-11-10,703
16945,33,8548.16,259.04,2009-12-09,2011-11-18,709
15281,16,8543.57,533.97,2010-10-08,2011-10-12,369
15270,21,8524.86,405.95,2009-12-17,2011-11-24,707
15786,5,8514.82,1702.96,2010-06-21,2011-10-24,490
12798,4,8510.93,2127.73,2010-10-14,2011-11-29,411
13209,13,8509.51,654.58,2010-01-24,2011-11-09,654
13715,17,8483.29,499.02,2010-03-11,2011-03-03,357
14286,7,8479.76,1211.39,2009-12-04,2011-11-16,712
18139,6,8438.34,1406.39,2011-11-21,2011-11-22,1
14160,7,8421.47,1203.07,2010-01-10,2010-04-08,88
14057,22,8408.84,382.22,2009-12-03,2011-11-16,713
13206,13,8377.32,644.41,2009-12-07,2010-11-04,332
14676,12,8356.79,696.4,2010-03-10,2011-11-08,608
17611,28,8321.98,297.21,2009-12-01,2011-12-02,731
15034,14,8313.4,593.81,2010-05-11,2011-11-24,562
15998,16,8308.34,519.27,2009-12-01,2011-11-03,702
17686,9,8296.81,921.87,2010-06-24,2011-12-02,526
14030,20,8262.29,413.11,2009-12-10,2011-11-21,711
14525,17,8232.69,484.28,2009-12-13,2011-11-20,707
13381,12,8224.37,685.36,2009-12-01,2011-11-08,707
17365,15,8219.94,548.0,2010-02-01,2011-11-27,664
14056,23,8214.65,357.16,2011-02-28,2011-12-08,283
14395,20,8208.01,410.4,2010-04-18,2011-12-07,598
13139,8,8202.98,1025.37,2010-09-28,2011-11-23,421
13426,22,8167.38,371.24,2009-12-09,2011-12-09,730
15544,20,8162.43,408.12,2010-01-28,2011-11-30,671
12637,12,8142.31,678.53,2010-06-14,2011-10-03,476
16672,20,8134.94,406.75,2011-03-18,2011-12-07,264
13869,10,8111.57,811.16,2010-01-17,2011-08-08,568
17593,11,8095.8,735.98,2009-12-04,2011-12-06,732
17426,13,8077.77,621.37,2010-02-17,2011-12-01,652
16767,15,8069.45,537.96,2010-04-28,2011-11-09,560
16670,20,8030.15,401.51,2009-12-10,2011-11-23,713
16556,17,8012.58,471.33,2009-12-07,2011-10-04,666
16303,7,7928.27,1132.61,2010-03-18,2011-11-14,606
14159,20,7926.79,396.34,2009-12-03,2011-11-20,717
12867,13,7913.29,608.71,2009-12-16,2011-11-13,697
14291,23,7904.1,343.66,2009-12-09,2011-12-08,729
13871,17,7885.85,463.87,2009-12-20,2011-11-17,697
17085,28,7883.01,281.54,2009-12-06,2011-08-08,610
15622,17,7852.61,461.92,2010-03-04,2011-10-27,602
14282,25,7849.66,313.99,2010-02-15,2011-12-06,659
12643,11,7849.42,713.58,2010-04-07,2011-08-03,483
17091,19,7811.1,411.11,2009-12-16,2011-12-07,721
16592,28,7807.91,278.85,2009-12-18,2011-12-05,717
17409,10,7793.51,779.35,2009-12-11,2011-06-08,544
15046,25,7793.44,311.74,2010-01-14,2011-11-30,685
17238,32,7782.6,243.21,2009-12-01,2011-12-07,736
17730,20,7773.8,388.69,2010-04-29,2011-12-06,586
14800,17,7763.07,456.65,2010-09-30,2011-10-23,388
17739,18,7730.59,429.48,2009-12-07,2011-11-28,721
13534,35,7720.9,220.6,2010-07-07,2011-12-07,518
14688,28,7713.57,275.48,2010-09-09,2011-12-02,449
13137,16,7712.7,482.04,2010-07-25,2011-11-29,492
17696,27,7679.59,284.43,2009-12-10,2011-11-01,691
14175,8,7678.88,959.86,2010-03-22,2011-10-11,568
13141,17,7668.58,451.09,2009-12-09,2011-09-16,646
15301,17,7603.44,447.26,2010-09-15,2011-10-20,400
14145,7,7600.05,1085.72,2010-04-08,2011-10-24,564
13709,18,7591.75,421.76,2010-01-11,2011-12-06,694
13373,6,7587.19,1264.53,2009-12-06,2011-10-10,673
12841,40,7540.68,188.52,2010-07-08,2011-12-05,515
15179,13,7491.92,576.3,2009-12-03,2011-11-21,718
16242,14,7474.4,533.89,2010-03-15,2011-12-01,626
17602,14,7451.13,532.22,2010-03-30,2011-12-07,617
17690,20,7448.1,372.41,2010-02-03,2011-11-09,644
16570,20,7434.31,371.72,2010-03-30,2011-11-24,604
14243,17,7431.05,437.12,2010-08-20,2011-12-01,468
15299,9,7391.54,821.28,2010-01-12,2011-10-03,629
13082,21,7335.75,349.32,2009-12-22,2011-08-05,591
16253,7,7310.15,1044.31,2009-12-08,2011-10-04,665
12720,29,7306.67,251.95,2010-07-21,2011-12-07,504
17965,29,7237.23,249.56,2009-12-14,2011-11-02,688
16729,21,7236.6,344.6,2011-04-12,2011-11-01,203
14092,24,7229.45,301.23,2009-12-16,2011-12-02,716
12380,8,7210.65,901.33,2010-02-15,2011-11-18,641
17231,25,7197.04,287.88,2009-12-07,2011-11-27,720
16745,17,7194.3,423.19,2011-02-01,2011-09-14,225
13451,11,7189.78,653.62,2010-03-21,2011-11-13,602
15950,10,7180.71,718.07,2010-01-26,2011-11-08,651
14841,14,7163.0,511.64,2009-12-02,2011-10-17,684
13983,21,7108.45,338.5,2009-12-09,2011-11-10,701
17769,17,7103.08,417.83,2010-01-19,2011-11-27,677
15521,16,7096.09,443.51,2010-01-05,2011-10-30,663
14113,16,7092.61,443.29,2009-12-08,2011-12-06,728
16938,9,7043.18,782.58,2010-02-17,2011-12-01,652
13183,15,7036.18,469.08,2010-03-14,2011-12-02,628
17975,24,7025.53,292.73,2010-08-06,2011-11-24,475
13831,18,7023.58,390.2,2009-12-10,2011-11-23,713
16717,14,6986.23,499.02,2009-12-07,2011-11-16,709
12429,8,6979.91,872.49,2010-06-11,2011-11-30,537
13552,22,6978.92,317.22,2010-02-19,2011-10-04,592
16265,12,6935.17,577.93,2010-10-28,2011-11-30,398
16187,15,6911.44,460.76,2011-02-28,2011-11-08,253
12749,9,6897.36,766.37,2010-07-06,2011-12-06,518
18231,28,6875.07,245.54,2010-01-10,2011-05-31,506
16170,20,6869.0,343.45,2010-02-18,2011-10-20,609
16456,13,6862.91,527.92,2010-03-29,2011-09-01,521
15129,23,6860.18,298.27,2010-04-08,2011-10-20,560
16401,23,6847.45,297.72,2010-06-02,2011-12-08,554
12830,6,6814.64,1135.77,2011-06-21,2011-11-02,134
16145,19,6805.44,358.18,2010-05-04,2011-12-01,576
15413,5,6798.72,1359.74,2009-12-01,2010-01-17,47
15750,18,6797.19,377.62,2009-12-01,2011-12-07,736
14401,22,6795.9,308.9,2009-12-14,2011-12-05,721
13993,19,6775.71,356.62,2009-12-03,2011-10-28,694
14702,29,6742.42,232.5,2009-12-10,2011-12-08,728
13815,8,6737.74,842.22,2010-02-12,2011-11-17,643
18118,29,6730.82,232.1,2010-11-23,2011-11-29,371
14562,26,6729.4,258.82,2010-02-07,2011-12-06,667
17838,13,6722.9,517.15,2010-03-19,2011-11-13,604
12779,14,6722.27,480.16,2009-12-03,2011-11-02,699
14461,13,6713.11,516.39,2010-01-18,2011-07-14,542
15321,12,6709.73,559.14,2010-02-03,2011-09-30,604
14844,10,6702.43,670.24,2010-04-12,2011-10-07,543
13734,4,6701.64,1675.41,2010-04-16,2010-07-19,94
14388,16,6701.0,418.81,2010-01-20,2011-11-29,678
12913,13,6700.86,515.45,2009-12-01,2011-12-05,734
16497,23,6695.28,291.1,2009-12-03,2011-10-21,687
13384,11,6680.83,607.35,2010-07-27,2011-11-09,470
17700,14,6679.97,477.14,2009-12-01,2011-11-23,722
17001,19,6640.8,349.52,2010-03-25,2011-12-09,624
13953,12,6640.68,553.39,2009-12-11,2011-12-02,721
14440,13,6638.73,510.67,2009-12-02,2011-12-01,729
13394,19,6621.7,348.51,2009-12-01,2011-12-08,737
